2020-12-29 21:12:117 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (271de318f12422ba686836cfd37df465)] -> xpath: //select[@id='makes']]
2020-12-29 21:12:437 INFO  SearchCarsPage :42 - Select car model : [[ChromeDriver: chrome on WINDOWS (271de318f12422ba686836cfd37df465)] -> xpath: //select[@id='models']]
2020-12-29 21:12:722 INFO  SearchCarsPage :49 - Select car location : [[ChromeDriver: chrome on WINDOWS (271de318f12422ba686836cfd37df465)] -> xpath: //select[@id='locations']]
2020-12-29 21:12:27 INFO  SearchCarsPage :56 - Select car maximum price : [[ChromeDriver: chrome on WINDOWS (271de318f12422ba686836cfd37df465)] -> xpath: //select[@id='priceTo']]
2020-12-29 21:12:284 INFO  SearchCarsPage :63 - Submit search criteria : [[ChromeDriver: chrome on WINDOWS (271de318f12422ba686836cfd37df465)] -> xpath: //input[@id='search-submit']]
2020-12-29 21:12:319 INFO  SearchCarsResultPage :21 - Get text from search result : [[ChromeDriver: chrome on WINDOWS (271de318f12422ba686836cfd37df465)] -> xpath: //h1[@class = "listing-search-title"]]
2020-12-29 21:12:392 INFO  SearchCarsResultPage :28 - Get title of page : 
2020-12-29 21:12:470 INFO  BasePage :32 - Launching Chrome Browser
2020-12-29 21:12:64 INFO  HomePage :31 - Mouse Hover on buy+sell : [[ChromeDriver: chrome on WINDOWS (0116f40ae63d78d908a4b9147695b07f)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-29 21:12:551 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (0116f40ae63d78d908a4b9147695b07f)] -> xpath: //select[@id='makes']]
2020-12-29 21:12:239 INFO  SearchCarsPage :42 - Select car model : [[ChromeDriver: chrome on WINDOWS (0116f40ae63d78d908a4b9147695b07f)] -> xpath: //select[@id='models']]
2020-12-29 21:12:588 INFO  SearchCarsPage :49 - Select car location : [[ChromeDriver: chrome on WINDOWS (0116f40ae63d78d908a4b9147695b07f)] -> xpath: //select[@id='locations']]
2020-12-29 21:12:890 INFO  SearchCarsPage :56 - Select car maximum price : [[ChromeDriver: chrome on WINDOWS (0116f40ae63d78d908a4b9147695b07f)] -> xpath: //select[@id='priceTo']]
2020-12-29 21:12:158 INFO  SearchCarsPage :63 - Submit search criteria : [[ChromeDriver: chrome on WINDOWS (0116f40ae63d78d908a4b9147695b07f)] -> xpath: //input[@id='search-submit']]
2020-12-29 21:12:758 INFO  SearchCarsResultPage :21 - Get text from search result : [[ChromeDriver: chrome on WINDOWS (0116f40ae63d78d908a4b9147695b07f)] -> xpath: //h1[@class = "listing-search-title"]]
2020-12-29 21:12:848 INFO  SearchCarsResultPage :28 - Get title of page : 
2020-12-29 21:12:440 INFO  BasePage :32 - Launching Chrome Browser
2020-12-29 21:12:328 INFO  HomePage :31 - Mouse Hover on buy+sell : [[ChromeDriver: chrome on WINDOWS (a2cf36016dac9aa78f6046576e4a07ea)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-29 21:12:225 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (a2cf36016dac9aa78f6046576e4a07ea)] -> xpath: //select[@id='makes']]
2020-12-29 21:12:915 INFO  SearchCarsPage :42 - Select car model : [[ChromeDriver: chrome on WINDOWS (a2cf36016dac9aa78f6046576e4a07ea)] -> xpath: //select[@id='models']]
2020-12-29 21:12:227 INFO  SearchCarsPage :49 - Select car location : [[ChromeDriver: chrome on WINDOWS (a2cf36016dac9aa78f6046576e4a07ea)] -> xpath: //select[@id='locations']]
2020-12-29 21:12:504 INFO  SearchCarsPage :56 - Select car maximum price : [[ChromeDriver: chrome on WINDOWS (a2cf36016dac9aa78f6046576e4a07ea)] -> xpath: //select[@id='priceTo']]
